1;2;3;4;5;6;0.43;0.08;9;10;11;12;28;29;30;31;;;1.1;;;;;
Nazwa;dodatkowo;sprawno˜†;ilo˜† faz;ilo˜†_mppt;c.katalogowa;netto;brutto;nom W;min;max W;%;max V/string;zabezpieczenia AC;Gwarancja;Zdj©cie_Inwerter;max_A_DC;zakres_DC;THDi;min_DC;Kolumna1;Kolumna2;Kolumna3;Kolumna4
Solaredge - SE3000H;-;1.05;1;2;;3600;3888;3000;4400;6000;0.396618907;480;14;12;;9;184-264,5;0.03;184;;;;
Solaredge - SE3500H;-;0.976;1;2;;4150;4482;3500;3000;7000;0.330515756;480;16;12;;10;184-264,5;0.03;184;;;;
Solaredge - SE3680H;-;0.977;1;2;;4200;4536;3680;3500;7360;0.309858521;480;16;12;;10.5;184-264,5;0.03;184;;;;
Solaredge - SE3K;-;0.98;3;2;;5600;6048;3000;2000;4050;0.291631549;900;5;12;;5;184-264,5;0.03;184;;;;
Solaredge - SE4K;-;0.98;3;2;;4250;4590;4000;3000;5400;0.145815775;900;6.5;12;;7;184-264,5;0.03;184;;;;
Solaredge - SE5K;-;0.98;3;2;;5600;6048;5000;4000;6750;2.253516516;900;8;12;;8.5;184-264,5;0.03;184;;;;
Solaredge - SE6K;-;0.98;3;2;;6050;6534;6000;5000;8100;0.198309453;900;10;12;;10;184-264,5;0.03;184;;;;
Solaredge - SE7K;-;0.98;3;2;;6300;6804;7000;6000;9450;0.183619864;900;11.5;12;;12;184-264,5;0.03;184;;;;
Solaredge - SE8K;-;0.98;3;2;;7000;7560;8000;7000;10800;1.652578778;900;13;12;;13.5;184-264,5;0.03;184;;;;
Solaredge - SE9K;-;0.98;3;2;;7250;7830;9000;8000;12150;;900;14.5;12;;15;184-264,5;0.03;184;;;;
Solaredge - SE10K;-;0.98;3;2;;7550;8154;10000;9000;13500;0.150234434;900;16;12;;16.5;184-264,5;0.03;184;;;;
Solaredge - SE12.5K;-;0.98;3;2;;7850;8478;12500;10000;16850;1.416496096;1000;20;12;;21;184-264,5;0.03;184;;;;
Solaredge - SE16K;-;0.98;3;2;;6650;7182;16000;12500;21600;1.652578778;1000;25.5;12;;23;184-264,5;0.03;184;;;;
Solaredge - SE17K;-;0.98;3;2;;6750;7290;17000;16000;22950;1.239434084;1000;26;12;;23;184-264,5;0.03;184;;;;
Solaredge - SE25K;-;0.98;3;4;;8650;9342;25000;17000;37500;1.239434084;1000;36.25;12;;36.25;184-264,5;0.03;184;;;;
Solaredge - SE30K;-;0.98;3;4;;8750;9450;29990;25000;45000;0.991547267;1000;43.5;12;;43.5;184-264,5;0.03;184;;;;
Solaredge - SE33.3K;-;0.98;3;4;;8800;9504;33300;29990;50000;0.991547267;1000;48.25;12;;48.25;184-264,5;0.03;184;;;;
Solaredge - SE50K;+jedn. Pomocnicze';0.98;3;8;;15950;17226;50000;33300;75000;;1000;72.5;12;;2x36,25;184-264,5;0.03;184;;;;
Solaredge - SE66.6K;+jedn. Pomocnicze';0.98;3;8;;0;0;66600;50000;100000;0.826289389;1000;96.5;12;;2x48,25;184-264,5;0.03;184;;;;
Solaredge - SE90K;+jedn. Pomocnicze';0.98;3;12;;23900;25812;90000;66600;135000;0.708248048;1000;130.5;12;;3x43,5;184-264,5;0.03;184;;;;
Solaredge - SE120K;+jedn. Pomocnicze';0.98;3;12;;0;0;100000;90000;150000;0.619717042;1000;145;12;;3x48,25;184-264,5;0.03;184;;;;
Solaredge - SE120K;+jedn. Pomocnicze';0.98;3;12;;0;0;120000;100000;180000;0.550859593;1000;145;12;;3x48,25;184-264,5;0.03;184;;;;
